"gene","n_folds_selected","signature_size"
"CYSLTR2",5,100
"GABRE",5,100
"LRRC40",5,100
"MEG3",5,100
"MEG8",5,100
"MIR3609",5,100
"RN7SKP255",5,100
"RN7SL600P",5,100
"RNU6ATAC",5,100
"SNORA37",5,100
"SNORA53",5,100
"SNORD3C",5,100
"VMP1",5,100
"ARHGAP44",4,100
"ATF3",4,100
"ATP5ME",4,100
"BCL2L2",4,100
"CRNKL1",4,100
"DAXX",4,100
"DEPP1",4,100
"EBLN2",4,100
"HTATSF1",4,100
"KEL",4,100
"RN7SKP79",4,100
"RNA5S9",4,100
"RNY3",4,100
"SNORA73B",4,100
"TXNDC9",4,100
"ZFP36",4,100
"ABCF1",3,100
"CDK4",3,100
"CEP89",3,100
"DCAF8",3,100
"DDX49",3,100
"H2BC12",3,100
"H2BC13",3,100
"HNRNPM",3,100
"IL1RN",3,100
"ITGA8",3,100
"MAPK10",3,100
"NELFE",3,100
"PRPF31",3,100
"PRPF6",3,100
"PSMD8",3,100
"RIPOR3",3,100
"RNY4",3,100
"SDHAF1",3,100
"SIK1B",3,100
"SLC7A11",3,100
"SNORA49",3,100
"SNORA74A",3,100
"SRSF1",3,100
"STAG3L5P",3,100
"XAB2",3,100
"ADGRF5",2,100
"AIP",2,100
"ASTN2",2,100
"BTBD19",2,100
"CARMN",2,100
"CERS5",2,100
"CHMP2A",2,100
"COL13A1",2,100
"COPS3",2,100
"COX5B",2,100
"CUEDC2",2,100
"GCNT1P3",2,100
"GGH",2,100
"GGT5",2,100
"GIPR",2,100
"H2AC12",2,100
"H2BC11",2,100
"H4C2",2,100
"H4C3",2,100
"H4C5",2,100
"HNRNPUL1",2,100
"IL1B",2,100
"ILF2",2,100
"ITM2B",2,100
"KANSL1",2,100
"LMNB2",2,100
"MRVI1",2,100
"MSH6",2,100
"MTND4P14",2,100
"MZT2B",2,100
"NADK2",2,100
"NDUFV2",2,100
"NEBL",2,100
"NPTN-IT1",2,100
"PDHB",2,100
"PEMT",2,100
"PEPD",2,100
"PLXDC1",2,100
"POC1B",2,100
"PRKCSH",2,100
"PRPF8",2,100
"PSMD4",2,100
"RN7SKP48",2,100
"RNF138",2,100
"RPS19",2,100
"RRP9",2,100
"SLC9A3",2,100
"SNORA22",2,100
"SNORA38B",2,100
"SNORA74B",2,100
